geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
PHF20L1	BS_XG0DBWVT	5.8354789059418584e-27	9.372488600754231e-22	7.96	2.93	42756	23554.18	3075.92	11.08	TRUE	10	1	1
RBBP5	BS_JRYJGYC4	7.055171421794177e-26	1.1331463071488956e-20	8.4	2.29	11247	7089.14	1455.3	21.82	TRUE	23	1	1
MEF2A	BS_R7NTZR4C	1.510427572536205e-25	2.4259303193514988e-20	7.47	3.13	74417	32805.69	3826.7	8.37	TRUE	16	1	1
CAP1	BS_VVTHDRBD	7.509788808542731e-25	1.2061633867011313e-19	7.48	2.73	95183	51147.35	7756.99	12.03	TRUE	36	1	1
NFYC	BS_VVTHDRBD	3.883859753469112e-24	3.1189754819653593e-19	7.25	2.83	40689	13485.01	1906.09	10.62	TRUE	36	1	2
LRRC28	BS_R7NTZR4C	1.0848117659080104e-23	8.711697937579861e-19	6.9	3.32	22902	7167.06	741.7	6.56	TRUE	16	1	2
RLF	BS_VVTHDRBD	1.655878637109431e-23	8.865141376678883e-19	7.2	2.79	37002	17573.42	2555.48	10.77	TRUE	36	1	3
STX8	BS_H97S5SQN	9.552594766057296e-24	1.5342628599228216e-18	7.74	2.48	7900	3909.42	714.64	15.83	TRUE	36	1	1
SCMH1	BS_VVTHDRBD	5.0618053658530696e-23	2.032468708026171e-18	7.4	2.56	19699	8665.36	1474.13	13.67	TRUE	36	1	4
MYH10	BS_H97S5SQN	3.116347962245961e-23	2.502616856552558e-18	7.05	2.88	81198	60098.67	8362.37	9.52	TRUE	36	1	2
PARP1	BS_VVTHDRBD	8.308508549992837e-23	2.668894976033105e-18	7.05	2.46	148645	58865.53	10698.92	14.21	TRUE	36	1	5
CEP170	BS_VVTHDRBD	1.102191749223729e-22	2.9504232563004005e-18	7.19	2.43	83158	52813.18	9932.67	14.98	TRUE	36	1	6
CSDE1	BS_JRYJGYC4	4.78607536314462e-23	3.843509462243831e-18	7.7	1.95	93133	65107.93	16844.98	27.36	TRUE	23	1	2
NDUFS1	BS_JJVH7WR0	1.1781554493245788e-22	6.307536306041965e-18	7.22	2.5	54182	41424.07	7396.01	13.86	TRUE	18	1	2
INO80D	BS_JJVH7WR0	8.68572968860692e-23	6.307536306041965e-18	7.46	2.23	30359	14684.95	3151.26	19.55	TRUE	18	1	2
FASTKD2	BS_JJVH7WR0	9.603946415549815e-23	6.307536306041965e-18	7.39	2.47	9401	5775.9	1050.14	15.18	TRUE	18	1	2
TTC23	BS_R7NTZR4C	1.2568753759179942e-22	6.72898221564717e-18	6.54	3.35	33360	9344.98	951.47	5.92	TRUE	16	1	3
ZMPSTE24	BS_VVTHDRBD	4.1939101730145763e-22	9.622756619522785e-18	7.14	2.55	19406	11262.61	1927.52	13.07	TRUE	36	1	7
PPT1	BS_VVTHDRBD	8.458161121453446e-22	1.69810438808728e-17	6.86	2.61	70347	37371.95	6086.27	11.61	TRUE	36	1	8
MYNN	BS_SY3J3XR9	1.0876350667617572e-22	1.746874151944146e-17	6.38	3.59	24306	12920.23	1099.37	4.81	TRUE	7	1	1
HUS1	BS_YA0KMBRT	1.1321785834994426e-22	1.8184164554278183e-17	7.14	2.67	31859	5553.56	869.47	11.81	TRUE	48	1	1
DSTYK	BS_JRYJGYC4	4.625551647285635e-22	1.9505055869173304e-17	7.54	2.06	16684	11425.58	2750.28	23.37	TRUE	23	1	3.5
NRAS	BS_JRYJGYC4	4.857678549734111e-22	1.9505055869173304e-17	7.58	2.01	11916	12024.95	2995.84	25.17	TRUE	23	1	3.5
BTBD6	BS_8ZD6J47V	1.3161561044510403e-22	2.1139067220721057e-17	-12.75	-9.1	0	0	1312.8	13.78	TRUE	62	1	1
SDCCAG8	BS_VVTHDRBD	1.3013767004804014e-21	2.3224102249051112e-17	7	2.51	24239	9068.85	1600.42	13.3	TRUE	36	1	9
PIK3CB	BS_SY3J3XR9	5.266726325707033e-22	4.22950140396525e-17	6.49	3.35	25624	15079.87	1499.82	5.75	TRUE	7	1	2
EXO5	BS_VVTHDRBD	4.723330652771036e-21	7.586243291122722e-17	6.76	2.84	7332	2904.25	411.65	9.29	TRUE	36	1	10
PPP1R15B	BS_YA0KMBRT	1.0053643116240618e-21	8.073686583552811e-17	6.45	3.04	314748	47913.49	5960.39	7.14	TRUE	48	2	2
COPB1	BS_TM9MH0RP	9.247738755678374e-22	1.0108687440038067e-16	6.99	2.49	40234	19592.55	3507.07	13.45	TRUE	6	1	1.5
PSMA1	BS_TM9MH0RP	1.2587698920936436e-21	1.0108687440038067e-16	7.07	2.43	20858	9882.86	1832.73	14.47	TRUE	6	1	1.5
CTPS1	BS_VVTHDRBD	8.031589380690034e-21	1.1727008205835488e-16	6.66	2.71	17844	7999.36	1224.34	10.22	TRUE	36	1	11
MYSM1	BS_WH8G4VFB	1.0447848328436246e-21	1.6780514665380835e-16	-11.51	-4.58	49	62.58	1527.56	22.81	TRUE	4	1	1
