geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank	subjectID
CCT2	BS_MG78HQDM	6.6653304018713655e-15	7.850568770774901e-10	5.59	2.74	75853	33309.32	4993.24	7.81	TRUE	11	1	1.5	PNOC008-27
FRS2	BS_MG78HQDM	9.775808840741877e-15	7.850568770774901e-10	5.61	2.71	77030	19001.93	2902.08	7.97	TRUE	11	1	1.5	PNOC008-27
CPSF6	BS_MG78HQDM	2.1317727491759038e-14	1.141295405403969e-9	5.24	3.04	604625	40178.15	4861.73	5.52	TRUE	11	1	3	PNOC008-27
CNOT2	BS_MG78HQDM	3.5548167359763145e-14	1.3565329478155723e-9	5.42	2.71	73342	17075.12	2626.12	7.6	TRUE	11	1	4.5	PNOC008-27
SLC35E3	BS_MG78HQDM	4.2230082848838433e-14	1.3565329478155723e-9	5.51	2.68	44171	8537.32	1330.54	7.85	TRUE	11	1	4.5	PNOC008-27
YEATS4	BS_MG78HQDM	1.0788190908593007e-13	2.887857704663364e-9	5.25	2.77	10766	2699.74	394.68	6.87	TRUE	11	1	6	PNOC008-27
MDM2	BS_MG78HQDM	1.0964787739644756e-12	2.515826029900096e-8	5.08	2.77	169550	37442.56	5488	6.3	TRUE	11	1	7	PNOC008-27
NUP107	BS_MG78HQDM	1.5897396468753505e-12	3.191643941882568e-8	5.81	1.8	5042	4134.61	1191.36	19.99	TRUE	11	1	8	PNOC008-27
TIGAR	BS_MG78HQDM	3.13768112645761e-10	5.5994415205735285e-6	4.46	2.72	20836	4979.31	761.15	5.13	TRUE	11	1	9	PNOC008-27
NEURL2	BS_PJC6FH4Y	4.6175864186352336e-10	7.416405194711449e-5	4.75	2.39	826	780.96	149.5	7.45	TRUE	1	1	1	PNOC008-30
FAM49B	BS_MG78HQDM	6.569226862420899e-9	1.0550977027972109e-4	4.96	1.9	11959	8862.9	2350.96	11.52	TRUE	11	2	10	PNOC008-27
KLF16	BS_3ZPJAK9A	8.027772710455002e-10	1.2893578989990622e-4	-9.13	-3.94	4	62.69	1199.64	18.01	TRUE	10	1	1	PNOC008-19
CNOT9	BS_3ZPJAK9A	4.456064890522532e-8	0.0022132646231020655	4.87	1.03	1552	4219.93	2064.66	46.85	TRUE	10	1	3.5	PNOC008-19
ARHGAP19	BS_3ZPJAK9A	4.2637689636568604e-8	0.0022132646231020655	4.25	2.01	2707	4716.07	1175.88	8.87	TRUE	10	1	3.5	PNOC008-19
H2AFX	BS_3ZPJAK9A	6.890090546677281e-8	0.0022132646231020655	-7.42	-3.48	12	286.49	3348.6	12.36	TRUE	10	1	3.5	PNOC008-19
NIF3L1	BS_3ZPJAK9A	6.658441734168019e-8	0.0022132646231020655	-6.24	-1.55	159	203.71	598.02	40.41	TRUE	10	1	3.5	PNOC008-19
FMR1	BS_TVH33J9Q	2.1654828167477067e-8	0.0034780286832038912	-6.26	-1.54	938	880.81	2557.12	39.94	TRUE	2	1	1	PNOC008-33
RBL2	BS_TVH33J9Q	2.643391044175619e-7	0.02122803700279425	-5.81	-1.55	712	1181.92	3462.47	33.6	TRUE	2	1	2	PNOC008-33
ARHGEF18	BS_3ZPJAK9A	1.0527530990676107e-6	0.021477818177885206	-6.01	-1.59	50	819.6	2502.32	38.66	TRUE	10	1	7.5	PNOC008-19
RNF25	BS_3ZPJAK9A	1.203522610007293e-6	0.021477818177885206	4.39	0.99	580	1415.16	713.03	43.43	TRUE	10	1	7.5	PNOC008-19
MPG	BS_3ZPJAK9A	1.0567254182162412e-6	0.021477818177885206	-6.48	-2.36	17	180.4	961.73	20.9	TRUE	10	1	7.5	PNOC008-19
DOHH	BS_3ZPJAK9A	1.1118217536115084e-6	0.021477818177885206	-9.87	-4.43	0	0	527.03	21.21	TRUE	10	1	7.5	PNOC008-19
KCNMB4	BS_MG78HQDM	2.568107501074511e-6	0.037497207976014614	3.44	2.66	12697	7484.64	1212.39	2.96	TRUE	11	1	11	PNOC008-27
PAGR1	BS_3ZPJAK9A	2.854465559578585e-6	0.04584618734745949	-7.37	-4.69	0	0	1158.75	12.03	TRUE	10	1	10	PNOC008-19
