geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
EIF3H	BS_TZVFR600	2.151184405514521e-89	3.52498556441842e-84	14.79	2.82	125410	34470.28	4870.59	47.2	TRUE	108	4	1
NOL10	BS_JQXHHK0K	1.262804014639854e-83	2.0692628260432346e-78	12.87	3.54	67702	12560.59	1085.11	22.24	TRUE	31	1	1
RBBP5	BS_JRYJGYC4	2.3482727045645285e-78	3.847939471710664e-73	14.71	2.27	11247	6617.72	1369.03	77.69	TRUE	45	1	1
UTP23	BS_TZVFR600	7.993371883085003e-78	6.549071392176501e-73	13.89	2.53	12947	4707.74	811.57	56.83	TRUE	108	2	2
MYNN	BS_SY3J3XR9	9.445881689651335e-76	1.5478262353459813e-70	12.59	3.26	24306	8798.47	915.45	25.96	TRUE	9	1	1
CDCA5	BS_Q79NP5YY	3.154184923477967e-72	5.168527762782261e-67	11.78	3.35	1481	3184.47	310.88	25.3	TRUE	3	1	1
COPB1	BS_TM9MH0RP	5.045133220966212e-69	4.1335419057717e-64	13.72	2.19	40234	16428.81	3599.62	73.1	TRUE	24	1	1.5
PSMA1	BS_TM9MH0RP	4.138066007827866e-69	4.1335419057717e-64	13.76	2.13	20858	7847.51	1788.19	79.3	TRUE	24	1	1.5
NFYC	BS_VVTHDRBD	5.730128695278655e-69	9.389534844775849e-64	13.31	2.44	40689	10089.21	1860.87	54.52	TRUE	63	1	1
INTS4	BS_4KNBXM3C	4.000142003193885e-67	6.554734582835393e-62	12.74	2.5	16913	6563.67	1162.44	50.23	TRUE	29	5	1
OTUD5	BS_8GW1TMV2	4.718026209560757e-67	7.731077930193355e-62	13.53	2.16	12973	14312.58	3200.67	74.86	TRUE	30	3	1
CAP1	BS_VVTHDRBD	6.66025590299613e-66	5.456832490327258e-61	13.38	2.22	95183	34916.26	7475.17	66.05	TRUE	63	1	2
NRAS	BS_JRYJGYC4	7.037666556715063e-66	5.766049845846986e-61	13.36	2.19	11916	11179.26	2448.44	70.97	TRUE	45	1	2
TAF1B	BS_JQXHHK0K	1.4872285347582893e-64	1.2185052807595627e-59	10.85	3.52	35212	5723.39	500.43	17.19	TRUE	31	1	2
KIDINS220	BS_ZQKGJD70	5.432499906811195e-64	8.90183273043656e-59	11.22	3.25	666086	120429.5	12664.47	21.39	TRUE	17	2	1
ABHD13	BS_23QW0BBA	8.970272858976543e-64	1.469891760823906e-58	11.63	2.97	46621	5529.53	705.33	28.5	TRUE	104	1	1
RER1	BS_JRYJGYC4	1.310468723926494e-62	7.157891442842708e-58	13.46	1.77	13835	13559.94	3964.87	115.87	TRUE	45	4	3
CXorf40A	BS_9F09XV62	6.749599556828768e-61	1.1060065767693096e-55	11.21	2.92	4508	4344.18	572.7	29.7	TRUE	2	2	1
RLF	BS_VVTHDRBD	6.811975945466649e-60	3.720759102347037e-55	12.31	2.4	37002	12176.23	2303.33	48.76	TRUE	63	1	3
NDUFS1	BS_JJVH7WR0	1.1705459174073908e-59	1.9180863578095126e-54	12.71	2.04	54182	31304.07	7618.32	74.86	TRUE	41	2	1
CSDE1	BS_JRYJGYC4	7.02044960175852e-59	2.8759718876828275e-54	12.89	1.9	93133	68972.69	18531.41	88.52	TRUE	45	3	4
PIK3CB	BS_SY3J3XR9	2.793307218605686e-58	2.2885921814349883e-53	11.09	3	25624	11402.59	1426.57	25.21	TRUE	9	1	2
ALG8	BS_4KNBXM3C	7.201436912016412e-58	5.900228983822575e-53	11.16	2.69	31136	4164.66	644.73	34.3	TRUE	29	5	2
HDAC6	BS_8GW1TMV2	9.639601481803903e-58	7.897848269771637e-53	12.31	2.23	29556	18222.6	3889.07	57.74	TRUE	30	3	2
NDUFC2	BS_4KNBXM3C	1.770242452660737e-57	9.669214588877072e-53	11.23	2.66	33936	16313.45	2582.46	35.11	TRUE	29	5	3
WDR13	BS_8GW1TMV2	2.0807233861480603e-57	1.1365087810723901e-52	12.21	2.25	24763	16883.96	3545.72	55.9	TRUE	30	2	3
DCAF13	BS_HE57E1RP	8.392941986305503e-58	1.3752888533817728e-52	12.33	2.1	13717	4963.74	1153.45	68.22	TRUE	69	1	1
SLC35A2	BS_8GW1TMV2	3.896199046568052e-57	1.5961027515872451e-52	12.07	2.31	3933	3911.51	786.48	54.39	TRUE	30	3	4
GRIPAP1	BS_8GW1TMV2	5.137992920581541e-57	1.683849216153284e-52	12.28	2.2	10899	11157.22	2424.1	59.68	TRUE	30	1	5
TIMM17B	BS_8GW1TMV2	7.055690311703786e-57	1.92693897929019e-52	12.08	2.26	5733	3834.04	799.83	56.86	TRUE	30	2	6
POLR2K	BS_HE57E1RP	3.6718725200605127e-57	3.0084119228500573e-52	12.21	2.02	7532	3485.62	858.65	76.29	TRUE	69	3	2
SHOC2	BS_XZM79E42	2.3707810198448626e-57	3.88482217048775e-52	12.47	2.04	14133	9048.22	2191.07	72.83	TRUE	11	2	1
TMCO1	BS_3KHXMAJF	2.4316646073804438e-57	3.984587567923121e-52	-21.61	-3.98	43	159.1	2557.38	103.76	TRUE	52	6	1
ODC1	BS_JQXHHK0K	9.099610678544399e-57	4.970284618010199e-52	8.5	4.33	2427303	96192.55	4818.62	7.15	TRUE	31	1	3
ARMC8	BS_GWSJ4Z9H	9.499566625626804e-57	1.556623185707612e-51	12.68	1.91	14997	6748.43	1794.75	85.75	TRUE	31	2	1
DGCR6L	BS_64HCD9K3	3.56830401473296e-56	5.847113854649535e-51	-22.03	-5.08	28	37.62	1315.5	65.31	TRUE	66	3	1
PHF20L1	BS_XG0DBWVT	1.4915768618964553e-55	2.4441358411335147e-50	11.7	2.57	42756	15512.56	2615.99	37.3	TRUE	60	2	1
FASTKD2	BS_JJVH7WR0	8.762699847847753e-55	7.179391592327699e-50	11.79	1.99	9401	3910.69	984.33	75.07	TRUE	41	2	2
PQBP1	BS_8GW1TMV2	6.84315735818973e-54	1.6019102806027708e-49	11.78	2.19	12294	6644.51	1451.56	56.76	TRUE	30	2	7
ZMPSTE24	BS_VVTHDRBD	9.649963730329979e-54	3.953169095984423e-49	11.6	2.33	19406	8961.14	1787.46	47.7	TRUE	63	1	4
RAD21	BS_TZVFR600	8.574654239872802e-54	4.683548953768328e-49	11.79	2.22	79945	39157.43	8379.22	53.05	TRUE	108	4	3
RPL26	BS_H97S5SQN	3.899763287316717e-54	6.3902514620323474e-49	11.82	2.12	183378	55971.86	12833.88	59.7	TRUE	112	3	1
BCAS2	BS_JRYJGYC4	2.688304673230886e-53	8.81024903453679e-49	11.74	1.91	3724	3081.37	815.87	84.06	TRUE	45	2	5
RLIM	BS_QHS3V0GP	6.309420483615127e-54	1.0338777125557348e-48	-18.42	-3.32	990	563.69	5618.84	88.06	TRUE	24	4	1
PSPC1	BS_0VRSD9V3	9.261095497966161e-53	1.5175466992669578e-47	-20.24	-4.1	109	130.91	2270.89	70.25	TRUE	92	2	1
TACC3	BS_30VC3R2Q	1.1818867053249344e-52	1.9366696617773147e-47	10.82	2.93	11282	6666.73	876.06	24.5	TRUE	4	2	1
GNB1	BS_JRYJGYC4	7.412165066535227e-52	2.0242937482598822e-47	12.36	1.64	64353	64810.36	20715.63	110.78	TRUE	45	4	6
KPNA3	BS_YEW22W35	1.4531518859453483e-52	2.381171696733081e-47	-19.54	-3.57	166	182.72	2175.08	84.92	TRUE	81	3	1
IGHMBP2	BS_TRKH2SPE	9.997071909052208e-52	1.638145668754666e-46	11.62	2.04	8868	3983.27	964.58	65.83	TRUE	66	2	1
INO80D	BS_JJVH7WR0	6.514579117954597e-51	3.558318429944046e-46	11.85	1.8	30359	12379.35	3561.67	87.87	TRUE	41	7	3
FAM208B	BS_HZ707C55	2.8819422130877696e-51	4.7224239226449196e-46	-19.48	-3.68	278	371.32	4774.87	74.68	TRUE	82	2	1
NBAS	BS_DY88N5ZT	1.13782933080102e-50	1.8644761256002853e-45	10.09	2.83	285564	35671.83	5006.96	24.94	TRUE	10	8	1
YWHAE	BS_4B0BAVTX	1.255591392761936e-50	2.0574440401055462e-45	-18.15	-2.66	3480	3723.11	23572.39	113.46	TRUE	189	2	1
POLR2B	BS_Z8F3GM85	1.3653362636844526e-50	2.237274781151806e-45	11.86	1.82	35539	13511.01	3839.63	84.66	TRUE	32	4	1
STX8	BS_H97S5SQN	3.981638094741059e-50	3.2622068035454515e-45	10.51	2.19	7900	2955.03	647.23	53.06	TRUE	112	4	2
SRP72	BS_Z8F3GM85	3.9922452799807885e-50	3.270897405511817e-45	11.89	1.83	29294	12283.79	3454.35	82.47	TRUE	32	1	2
PARP1	BS_VVTHDRBD	1.5262102915541256e-49	5.001774122389441e-45	11.03	2.28	148645	41661.19	8540.94	44.66	TRUE	63	2	5
WASHC5	BS_WMEHNDSK	1.093389189686818e-49	8.958276891690612e-45	11.44	2.14	30652	9313.01	2110.79	54.38	TRUE	52	3	1.5
TATDN1	BS_WMEHNDSK	5.992877476849944e-50	8.958276891690612e-45	10.75	2.32	19417	1827.91	367.35	44.55	TRUE	52	1	1.5
ORAOV1	BS_23QW0BBA	1.1375712669991283e-49	9.320266278403979e-45	11.14	2.48	11522	3782.36	677.42	37.21	TRUE	104	2	2
ZMYM2	BS_0VRSD9V3	3.014086007031837e-49	2.469479054763226e-44	-19.87	-4.08	96	286.76	4911.4	66.47	TRUE	92	2	2
MARCH9	BS_H1ZS5FMZ	3.858586931117845e-49	6.322778835871476e-44	9.69	3.17	87580	11613.71	1291.51	17.53	TRUE	49	3	1
FTSJ1	BS_8GW1TMV2	3.603264012513257e-48	7.380500246944014e-44	11.38	2.08	5752	4499.46	1061.63	58.78	TRUE	30	2	8
FMR1	BS_A89VAPVV	7.599254636024146e-49	1.2452332223893138e-43	-18.73	-4.57	114	99.72	2387.94	53.52	TRUE	29	4	1
TSPAN31	BS_H1ZS5FMZ	3.046768102841489e-48	2.4962559121187926e-43	9.89	3	66298	13679.6	1711.89	20.31	TRUE	49	4	2
RBFOX2	BS_70FFPA51	1.5298222699743613e-48	2.506805741042753e-43	-20.94	-6.22	102	83.35	6254.53	33.99	TRUE	58	5	1
TBC1D25	BS_8GW1TMV2	2.1247585037637413e-47	3.86853712073046e-43	11.41	2.02	4498	4300.35	1055.91	62.94	TRUE	30	3	9
BBIP1	BS_XZM79E42	5.1392199823784526e-48	4.210628387742013e-43	10.97	2.17	8736	3073.71	683.32	51.83	TRUE	11	1	2
HUS1	BS_YA0KMBRT	4.9672327645677865e-48	8.139434139315333e-43	10.89	2.15	31859	3989.29	896.63	51.61	TRUE	59	1	1
YKT6	BS_4QW2S1Q8	9.117667347707608e-48	1.4940441972082506e-42	11.48	1.86	62793	14291.73	3928.05	73.92	TRUE	71	2	1
LIG4	BS_23QW0BBA	3.309925261632321e-47	1.8079092826953894e-42	9.78	2.9	54974	5346.22	717.02	21.93	TRUE	104	1	3
CDK4	BS_H1ZS5FMZ	3.7466941338286465e-47	2.0464761493220742e-42	9.98	2.88	154563	24422.49	3310.38	21.99	TRUE	49	5	3
SNRPE	BS_YA0KMBRT	3.236047143171797e-47	2.6513346406324753e-42	10.63	2.4	32935	3682.5	698.85	37.89	TRUE	59	2	2
